Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
Kelvinator,8,11290,4.4,,1,
LG,6,11163,4.3,61,6574,
Whirlpool,7.5,10990,,4349,52,
ONIDA,6.2,10990,4.4,,113,
Voltas,7,10790,4.3,694,2045,
Godrej,7.5,10790,4.3,55,1118,
Candes,9,10790,3.7,,0,
Voltas,8.5,10690,4.3,4349,52,
MarQ,9,10690,4.3,694,2045,
Lloyd,7,10590,4.3,700,814,
Lloyd,7.5,10490,4.4,102,1643,
Sansui,9,10090,4.3,55,1118,
Haier,7,9999,4.5,,2,
SAMSUNG,6.5,9990,4.3,993,2444,
Voltas,8,9990,4.3,427,424,
realme,8.5,9990,4.2,150,760,
Lloyd,7.5,9990,4.3,61,6574,
ONIDA,8,9990,4.4,61,6574,
realme,8,9990,4.3,,49,
ONIDA,7.5,9790,4.5,,68,
MarQ,8.5,9790,4.6,,5,
Voltas,7,9740,4.4,,3,
White westinghouse,8,9499,4.6,,0,
White westinghouse,8,9499,4.9,,1,
Voltas,7,9190,4.3,659,2643,
Whirlpool,6,8990,4.3,694,2045,
Thomson,7.5,8990,4.3,694,2045,
Whirlpool,6,8990,4.4,150,1475,
SAMSUNG,6,8990,4.3,61,6574,
Candes,8.5,8990,4.3,61,6574,
Thomson,8,8790,4.5,,63,
realme,7.5,8690,4.3,382,1237,
ONIDA,7,8490,4.3,,18,
InnoQ,8.5,8489,4.2,,94,
Gangnam,9,8399,4.5,116,100,
ONIDA,6.5,8290,4.3,815,462,
Sansui,6.5,7999,4.4,,113,
ONIDA,7,7990,4.3,55,1118,
MarQ,7.5,7990,4.3,,80,
Candes,7.2,7990,4.5,,0,
Gangnam,7.5,7899,4.2,453,185,
Lifelong,7.5,7850,4.3,55,1118,
Gangnam,7.8,7790,4.3,815,462,
Thomson,7,7790,4.2,790,349,
realme,7,7790,4.4,427,424,
Thomson,7,7790,4.3,,7,
